Event Name,Country,Subnational,Metro Area,Venue Name,Address,Frequency,When,Type,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Twitter,Bluesky,Discord,Facebook,Instagram,Website / Startgg / Linktree / Etc,Email,Twitch1,Twitch2,YouTube,Other Notes,Status,Added,Last Update
DLC Warmups,Argentina,,Buenos Aires,Phoenix Reborn,"Cnel. Ramón Lista 5126, C1418 Villa Devoto, Buenos Aires",Weekly,Sunday,Tournament,SF6,,,,,,,,,,UAFG_AR,,,,,,,UAFG,,,,Active,2024.0118,2024.0118
Smash Club,Argentina,,Buenos Aires,Phoenix Reborn,"Cnel. Ramón Lista 5126, C1418 Villa Devoto, Buenos Aires",Weekly,Thursday,Tournament,SSBU,,,,,,,,,,Afkssb,,Super Smash Bros Argentina Oficial,AFK Smash,,,,afkssb,,AFK,,Active,2024.0118,2024.0118
Valquiria Beer House,Argentina,,Cordoba,Valquiria Beer House,"San Jose de Calasanz 25 X5000 Cordoba, Argentina",Unknown,Unknown,Unknown,GGST,Tekken,DBFZ,MK1,SF6,GBVSR,,,,,ValquiriaGames,,Valquiria eSports Argentina,,,https://linktr.ee/valquiriaesport,valquiriafightinggames@gmail.com,ValquiriaEsportsArg,,Valquiria eSports Argentina,,Active,2024.0122,2024.0122
Stick Addiction,Australia,ACT,Canberra,"1UP (Reload Upstairs), Sydney Building","38 Northbourne Ave, Canberra ACT 2601",Monthly,Friday,Tournament,SF6,GGXXACR,KOFXV,GGST,Various,,,,,,StickAddiction,,Stick Addiction,Stick Addiction,,,,,,,,Active,2024.0118,2024.0118
Storm the Castle,Australia,New South Wales,Newcastle,Cardiff Senior Citizens Centre,"52 Harrison St, Cardiff NSW 2285",Monthly,Saturday,Tournament,SSBU,GGST,MK1,SF6,Skullgirls,Tekken,Brawlhalla,Various,,,FGCNewcastle,,Newcastle Smash  FGC Newcastle,,,,stcnsw@gmail.com,,,,,Active,2024.0118,2024.0118
Wicko Weekly,Australia,New South Wales,Newcastle,Wickham Park Hotel,"61 Maitland Rd, Islington NSW 2296",Monthly,Monday,Tournament,SF6,MK1,,,,,,,,,FGCNewcastle,,FGC Newcastle,,,,,,,,,Active,2024.0118,2024.0118
York Street Battles,Australia,New South Wales,Sydney,99 on York Street,"99 York Street, Sydney NSW 2000",Monthly,Saturday,Tournament,GGST,MK1,SF6,Tekken,UNI,VF5,Various,,,,ozhadou,,,,,,,OzHadou,ozhadou2nd,OzHadou,,Active,2024.0118,2024.0118
Ranking Battle,Australia,Queensland,Brisbane,"St Lucia, University of Queensland","280-284 Sir Fred Schonell Dr, St Lucia QLD 4067",Monthly,Saturday,Tournament,UNI,SF6,GBVSR,DBFZ,KOFXV,SSBM,MBTL,SSBU,MK1,Various,CouchWarriors,,,,,start.gg/cwqld,couchwarriorsqld@gmail.com,CouchWarriors,,,Calendar here,Active,2024.0118,2024.0118
Filthy,Australia,Queensland,Brisbane,Team Bliss Esports,"Unit 7/47 Musgrave Rd, Coopers Plains QLD 4108",Monthly,Saturday,Tournament,SSBU,,,,,,,,,,TeamBliss_ES,,Team Bliss Esports,,,https://linktr.ee/teambliss_es,admin@teambliss.com.au,,,,Calendar here,Active,2024.0118,2024.0118
Friday Night Smash,Australia,Queensland,Brisbane,Team Bliss Esports,"Unit 7/47 Musgrave Rd, Coopers Plains QLD 4108",Weekly,Friday,Tournament,SSBU,SSBM,,,,,,,,,TeamBliss_ES,,Team Bliss Esports,,,https://linktr.ee/teambliss_es,admin@teambliss.com.au,,,,Calendar here,Active,2024.0118,2024.0118
Smash by the Books,Australia,Queensland,Gold Coast,Helensvale Library,"Helensvale Plaza Corner Lindfield Road, Sir John Overall Dr, Helensvale QLD 4212",Monthly,Saturday,Tournament,SSBU,,,,,,,,,,,,Queensland Ultimate,,,,,,,,Calendar here,Active,2024.0118,2024.0118
Cheese League FGC Monthly,Australia,South Australia,Adelaide,Adelaide University,"14 Kintore Ave, Adelaide SA 5000, Australia",Monthly,Sunday,Tournament,Various,SSBM,,,,,,,,,CouchWarriorsSA,,Adelaide FGC,,,https://start.gg/cheeseleaguefgc ,,Pichy_and_Pals,kpkaiza,,3rd Sunday,Active,2024.0118,2024.0118
Cheese League FGC Weekly,Australia,South Australia,Adelaide,Adelaide University,"14 Kintore Ave, Adelaide SA 5000, Australia",Weekly,Friday,Tournament,Various,SSBM,,,,,,,,,CouchWarriorsSA,,Adelaide FGC,,,https://start.gg/cheeseleaguefgc ,,Pichy_and_Pals,kpkaiza,,,Active,2024.0118,2024.0118
Cheese League SSBU Monthly,Australia,South Australia,Adelaide,Adelaide University,"14 Kintore Ave, Adelaide SA 5000, Australia",Monthly,Sunday,Tournament,SSBU,,,,,,,,,,CouchWarriorsSA,,Adelaide FGC,,,https://start.gg/cheeseleaguefgc ,,Pichy_and_Pals,kpkaiza,,2nd Sunday,Active,2024.0118,2024.0118
Cheese League SSBU Weekly,Australia,South Australia,Adelaide,Adelaide University,"14 Kintore Ave, Adelaide SA 5000, Australia",Weekly,Wednesday,Tournament,SSBU,,,,,,,,,,CouchWarriorsSA,,Adelaide FGC,,,https://start.gg/cheeseleaguefgc ,,Pichy_and_Pals,kpkaiza,,,Active,2024.0118,2024.0118
TFC Locals,Australia,Tasmania,Hobart,Mount Stuart Hall,"7a Raymont Terrace, Mount Stuart TAS 7000",Every 2 Weeks,Saturday,Tournament,SSBU,SSBM,Various,,,,,,,,TassieFighter,,Tas Smash Ultimate,,,https://ausmash.com.au/regions/tas,,,,Sayhnim,,Active,2024.0118,2024.0118
CCH,Australia,Victoria,Melbourne,Collingwood Library,"11 Stanton St, Abbotsford VIC 3067",Monthly,Saturday,Tournament,GGST,UNI,GGXrd,GGXXACR,Tekken,SF6,Various,,,,CCHmelbfgc,,CCH Discord Server,,,https://www.cchfgc.org/,,,,CCH,2nd Saturday; BYOC,Active,2024.0129,2024.0129
CCH,Australia,Victoria,Melbourne,Djerring Centre,"Eddy Ct, Abbotsford VIC 3067",Monthly,Saturday,Tournament,GGST,UNI,GGXrd,GGXXACR,Tekken,SF6,Various,,,,CCHmelbfgc,,CCH Discord Server,,,https://www.cchfgc.org/,,,,CCH,4th Saturday; BYOC,Active,2024.0129,2024.0129
RMIT Game Day,Australia,Victoria,Melbourne,RMIT University Melbourne City Campus,"124 La Trobe St, Melbourne VIC 3000",Monthly,Saturday,Tournament,SSBU,Tekken,GGST,SF6,MK1,,,,,,CouchWarriors,,,,,CouchWarriors.org,,CouchWarriors,,,,Active,2024.0118,2024.0118
Drive Theory,Australia,Victoria,Melbourne,Theory Bar,"19-23 Meyers Pl, Melbourne VIC 3000",Monthly,Thursday,Tournament,SF6,,,,,,,,,,SleepyNick,,,,,https://www.start.gg/hub/drive-theory-hub,nickfrangos@hotmail.com,,,,,Active,2024.0118,2024.0118
Perth Iron King Arena Monthlies,Australia,Western Australia,Perth,Escape Portal,"1359 Albany Hwy, Cannington WA 6107",Monthly,Sunday,Tournament,MK1,SF6,KOFXV,UNI,GGST,DBFZ,Tekken,,,,PIKA_OCE,,PIKA Community,Perth Iron King Arena - PIKA,,,perthironkingarena@gmail.com,PerthIronKingArena,,PIKA Perth Iron King Arena,,Active,2024.0118,2024.0118
Perth Iron King Arena Weekly,Australia,Western Australia,Perth,Escape Portal,"1359 Albany Hwy, Cannington WA 6107",Weekly,Friday,Casuals,MK1,SF6,KOFXV,UNI,GGST,DBFZ,Tekken,,,,PIKA_OCE,,PIKA Community,Perth Iron King Arena - PIKA,,,perthironkingarena@gmail.com,PerthIronKingArena,,PIKA Perth Iron King Arena,,Active,2024.0118,2024.0118
Enigma Events,Australia,Western Australia,Perth,Lake Gwelup Church,"82 Huntriss Rd, Gwelup WA 6018",Every 2 Weeks,Monday,Tournament,SSBU,P+,Rivals,NASB2,,,,,,,EnigmaEventsGG,,Perth Smash Ultimate,,,,,EnigmaEvents,,Enigma Events,,Active,2024.0118,2024.0118
VirtualDojo Monthly Brackets,Austria,,Vienna,Virtual Dojo Vienna,"Praterstrasse 58/1/L1, 1020 Vienna",Monthly,Varies,Tournament,GBVSR,SF6,BBCF,UNI,GGST,MBTL,GGXXACR,Tekken,,,VirtualDojo,,VDV - Virtual Dojo Vienna,,,https://www.virtualdojovienna.com/,office@virtualdojovienna.com,,,,,Active,2024.0118,2024.0118
VirtualDojo Monthly Casuals,Austria,,Vienna,Virtual Dojo Vienna,"Praterstrasse 58/1/L1, 1020 Vienna",Monthly,Saturday,Casuals,GBVSR,SF6,BBCF,UNI,GGST,MBTL,GGXXACR,Tekken,,,VirtualDojo,,VDV - Virtual Dojo Vienna,,,https://www.virtualdojovienna.com/,office@virtualdojovienna.com,,,,,Active,2024.0118,2024.0118
Belarus Clash,Belarus,,Vitebsk,,"Prospect Stroiteley, 11А. Vitebsk, Belarus 210032",Yearly,Varies,Tournament,GGST,SF6,Tekken,MK1,,,,,,,,,,,,https://vk.com/belarusclash2024,barumank@gmail.com,Jack_wolf,,,,Active,2024.0118,2024.0118
Smash Games,Bolivia,,Cochabamba,Smash Games,"Calle General Achá 154. Centro Comercial Achá, primer piso, Cochabamba",Weekly,Saturday,Casuals,SSBU,SSBM,Tekken,MK1,,,,,,,Zero2tooHero,,,Smash Games Zero 2 Hero,SmashGames Zero2Hero,start.gg/game-on,,,,Zero 2 Hero,,Active,2024.0118,2024.0118
Smash Fellas,Brazil,Distrito Federal,Brasilia,Ludoteca BGC,"Asa Sul Comércio Local Sul 208 BLOCO C LOJA 02 - Asa Sul, Brasília - DF, 70254-530",Monthly,Thursday,Tournament,SSBU,SSBM,,,,,,,,,TeamBirdbox,,@teambirdbox,,LudotecaBGC,http://start.gg/smashfellas,junior.vagner@live.com,,,Team Birdbox,,Active,2024.0118,2024.0118
Brolha Game Store,Brazil,Mato Grosso,Cuiabá,Bolha Game Store,"R. Alice Borges Avelino, 181 - Duque de Caxias II, Cuiabá - MT, 78043-386",Weekly,Saturday,Tournament,SSBU,SF6,,,,,,,,,Macacones FGCMT,,,,,,,,,,,Active,2024.0118,2024.0118
Semanal Ultra Arcade,Brazil,Minas Gerais,Belo Horizonte,GOAT Gaming Center,"R. Tomé de Souza, 810 - Savassi, Belo Horizonte - MG, 30140-131",Weekly,Saturday,Tournament,GGST,SSBU,SF6,GBVSR,,,,,,,ultraarcadebh,,,Ultra Arcade,ultraarcadebh,https://linktr.ee/ultraarcade,contato@ultraarcadebh.com.br,UltraArcadeBH,,Ultra Arcade,,Active,2024.0118,2024.0118
Recife Dash,Brazil,Pernambuco,Recife,Boteco do Abelardo,"Rua Ana Neri, 5, Torre",Monthly,Sunday,Casuals,GBVSR,UNI,GGXXACR,GGST,,,,,,,RDashFGC,,,,,,,RDashFGC,,,,Active,2024.0118,2024.0118
Confra Smash,Brazil,Pernambuco,Recife,Somebody's House Looks Like,"Rua Oliveira Fonseca, 225 - Campo Grande, Recife - PE, 52040-250",Monthly,Friday,Tournament,SSBU,,,,,,,,,,bros_pe,,,,,,dokebucontact@gmail.com,,,,,Active,2024.0118,2024.0118
SmashRS,Brazil,Rio Grande do Sul,Porto Alegre,Someon's Condo Probably,"Praça São Caetano, 90 - Nonoai, Porto Alegre - RS, 91720-420",Monthly,Sunday,Tournament,SSBU,SF6,GGST,,,,,,,,SmashRS_,,SmashRS,,,,,smashrs_,,,,Active,2024.0118,2024.0118
Blame The Beasts,Brazil,Sao Paulo,Campinas,Forjamundos,"R. Advogado Luíz Gama, 1268 - Jardim Guanabara, Campinas - SP, 13070-717",Every 2 Weeks,Saturday,Tournament,SF6,GGST,GBVSR,,,,,,,,BlameTheBeasts,,,,,,,twitch.tv/gaiserick_,,,,Active,2024.0118,2024.0118
Bar Fights,Brazil,Sao Paulo,Sao Paulo,Tokio Marine Hall,"R. Bragança Paulista, 1281 Vila Cruzeiro",Every 2 Months,Saturday,Tournament,SF6,KOFXV,Various,,,,,,,,fgcsaopaulo,,,,,https://www.apoia.se/battlecoliseum,fgcsp1@gmail.com,FGC_SP,,,,Active,2024.0118,2024.0118
Crossplay Cafe,Cambodia,,Phnom Penh,Crossplay Cafe,"ផ្ទះលេខ C, ភូមិ1, 22, រាជធានីភ្នំពេញ។, Cambodia",Weekly,Sunday,Casuals,MK1,SF6,,,,,,,,,Prodigality09,,,,,,,,,,,Active,2024.0402,2024.1212
FGCC Monthly,Canada,Alberta,Calgary,Dalhousie Community Association,"5432 Dalhart Rd NW, Calgary, AB T3A1V6",See Notes,Varies,Tournament,SF6,GGST,BBCF,UNI,Tekken,MK1,Various,,,,FGCCalgary,,Fighting Game Community of Calgary,FGCC,,,mikegee445@gmail.com,,,FGC of Calgary,Frequency varies,Active,2024.0118,2024.1224
Overdrive Lethbridge FGC,Canada,Alberta,Lethbridge,Round Table Board Gamerie,"502 5 St S, Lethbridge, AB T1J 0T5",Quarterly,Sunday,Tournament,GBVSR,SF6,GGST,,,,,,,,Overdrive_LFGT,,Overdrive Lethbridge FGC,,,,,,,,,Active,2024.0118,2024.0118
RDFGC Weekly,Canada,Alberta,Red Deer,Heritage Lanes,"6200 67a St #8, Red Deer, AB T4P 3E8",Weekly,Wednesday,Tournament,SF6,GGXrd,GBVSR,BBCF,UNI,Various,,,,,RedDeerFGC,,Red Deer FGC,,,,,RedDeerFGC,,Red Deer FGC,,Active,2024.0118,2024.0118
OKSL,Canada,British Columbia,Kelowna,"3rd Floor, UBCO Library","3287 University Way, Kelowna, BC V1V 1V7",Weekly,Saturday,Tournament,GGST,SSBU,,,,,,,,,SmashOkanagan,,,,,,,OkanaganSmashLeague,,,,Active,2024.0118,2024.0118
Fight Night @ Game Quest,Canada,British Columbia,Prince George,Game Quest,"1663 Nicholson St S, Prince George, BC V2N 1V7, Canada",Monthly,Saturday,Tournament,SF6,GGST,,,,,,,,,Rasperrii,,,,,,,GameQuestPG,,,,Active,2024.0118,2024.0118
Okizeme,Canada,British Columbia,Vancouver,Vancouver Street Battle,4211 No. 3 Rd Richmond BC V6X 2C3,Monthly,Saturday,Tournament,SF6,GGST,UNI,MK1,GBVSR,KOFXV,Tekken,UMVC3,BBCF,Various,VanStreetBattle,,Vancouver Street Battle,,,https://www.vancouverstreetbattle.com/,,VanStreetBattle,,,,Active,2024.0118,2024.0118
Victoria FGC,Canada,British Columbia,Victoria,University of Victoria,"University of Victoria, Victoria, BC",Weekly,Wednesday,Casuals,Tekken,SF6,GGST,GGXXACR,Various,,,,,,vifgc,,Vancouver Island FGC,,,VFGC,,,,,,Active,2024.0610,2024.0610
Basement Series,Canada,Manitoba,Winnipeg,"Graham Hall, University of Winnipeg","515 Portage Ave, Winnipeg, MB R3B 2E9",Monthly,Saturday,Tournament,SSBM,P+,SSBU,HDR,,,,,,,ManitobaSmash,,Manitoba Smash,,,,,,,,Last Saturday,Active,2024.0118,2024.0118
Green Door Smash,Canada,New Brunswick,Fredericton,Marshall d'Avray Hall,"University of New Brunswick, 10 MacKay Dr, Fredericton, NB E3B 0R6",Weekly,Friday,Tournament,GGST,SF6,UMvC3,GBVSR,Tekken,Various,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,,fredericton_fgc,,,,Active,2024.0118,2024.0118
Le Hub,Canada,New Brunswick,Moncton,Centre Étudiant,"19 Av Antonine-Maillet, Moncton, NB E1A 3E9",Weekly,Thursday,Tournament,SF6,DBFZ,GBVSR,SSBM,SSBU,,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,brandobernie@gmail.com,buddabas,,,,Active,2024.0118,2024.0118
Newfoundland Fighting Jam,Canada,NL,St John's,Loft UC3013,"Memorial University of Newfoundland, St. John's, NL",Weekly,Sunday,Unknown,SF6,GBVSR,Anime Etc,Retro,,,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,,,,,,Active,2024.0118,2024.0118
The Bug's Den,Canada,NL,St John's,"The Council Chambers, UC-2001","Memorial University of Newfoundland, St. John's, NL",Weekly,Monday,Unknown,SF6,GGST,P+,,,,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,,,,,"May also be Tuesday, consult the discord",Active,2024.0118,2024.0118
South Shore Weeklies,Canada,Nova Scotia,Yarmouth,"Pair-a-Dice, Yarmouth Hall","76 Starrs Rd, Yarmouth, NS B5A 2T5",Weekly,Friday,Unknown,Tekken,MK1,SF6,GGST,GBVSR,,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,,,,,,Active,2024.0118,2024.0118
In the Lab,Canada,Ontario,Hamilton,Mohawk College,"135 Fennell Ave W, Hamilton, ON L9C 0E5",Every 2 Weeks,Wednesday,Tournament,GBVSR,SF6,GGST,Tekken,,,,,,,Incendium_GG,,Incendium Gaming Events,,,https://linktr.ee/incendiumgg http://start.gg/inthelab,info@incendium.gg,incendiumgaming,incendiumgaming2,,,Active,2024.0209,2024.0209
